input,subject,subject_type,data/object,relation,object,object_type
,逻辑表达式生成过程中的问题,知识问答,,包含,资源映射,知识问答
,逻辑表达式生成过程中的问题,知识问答,,包含,桥接操作,知识问答
,逻辑表达式生成过程中的问题,知识问答,,包含,组合操作,知识问答
,逻辑表达式生成过程中的问题,知识问答,,包含,候选逻辑表达式评估,知识问答
资源映射即将自然语言查询中的短语映射到知识库的资源（类别、关系、实体等），根据处理难度分为简单映射和复杂映射两类。,资源映射,知识问答,属性,被定义为,将自然语言查询中的短语映射到知识库的资源,文本
,资源映射,知识问答,,包含,简单映射,知识问答
,资源映射,知识问答,,包含,复杂映射,知识问答
简单映射是指字符形式上比较相似的，一般可以通过字符串相似度匹配来找到映射关系，例如“出生”和“出生地”的映射。,简单映射,知识问答,属性,被定义为,字符形式上比较相似的,文本
,简单映射,知识问答,属性,方法,可以通过字符串相似度匹配来找到映射关系,文本
复杂映射是指无法通过字符串匹配找到对应关系的映射，例如“老婆”与“配偶”的映射，这类映射在实际问答中出现的概率更高，一般可以采用基于统计的方法来找到映射关系。,复杂映射,知识问答,属性,被定义为,无法通过字符串匹配找到对应关系的映射,文本
,复杂映射,知识问答,属性,方法,基于统计的方法来找到映射关系,文本
逻辑表达式生成即自底向上自动地将自然语言查询解析为语法树，语法树的根节点即是最终对应的逻辑表达式。,逻辑表达式生成,知识问答,属性,被定义为,自底向上自动地将自然语言查询解析为语法树，语法树的根节点即是最终对应的逻辑表达式。,文本
,逻辑表达式生成,知识问答,,包含,逻辑表达式生成过程中的问题,知识问答
,桥接操作,知识问答,属性,被定义为,补充一个额外的二元关系将词两端的逻辑表达式连接起来,文本
,组合操作,知识问答,属性,被定义为,逻辑表达式间的连接、求交集以及聚合三种操作,文本
（4）候选逻辑表达式评估。,候选逻辑表达式评估,知识问答,属性,被定义为,知识图谱/知识表示/知识存储/知识抽取/知识融合/知识推理/语义搜索/知识问答/知识图谱项目,文本
即训练一个分类器，计算每一种候选逻辑表达式的概率，DiscriminativeLog-Linear模型，最终实现逻辑表达式的筛选。,逻辑表达式筛选,知识问答,属性,被定义为,训练一个分类器，计算每一种候选逻辑表达式的概率,文本
8.5.5基于深度学习的端到端问答模型端到端的深度学习问答模型将问题和知识库中的信息均转化为向量表示，通过向量间的相似度计算的方式完成用户问题与知识库答案的匹配。,基于深度学习的知识问答,知识问答,属性,方法,将问题和知识库中的信息均转化为向量表示，通过向量间的相似度计算的方式完成用户问题与知识库答案的匹配,文本
