input,subject,subject_type,data/object,relation,object,object_type
第3章知识存储王鑫天津大学随着知识图谱规模的日益增长，数据管理愈加重要。,知识存储,知识存储,,实现,知识图谱数据管理,知识存储
3.1知识图谱数据库基本知识本节首先介绍目前表示知识图谱的两种主要图数据模型：RDF图和属性图。,知识图图数据模型,知识存储,,包含,RDF图,知识存储
3.2知识图谱数据库基本知识本节首先介绍目前表示知识图谱的两种主要图数据模型：RDF图和属性图。,知识图图数据模型,知识存储,,包含,属性图,知识存储
知识图谱数据模型的数学基础源于有着近300年历史的数学分支——图论。,知识图图数据模型,知识存储,,来源,图论,知识存储
,图论,知识存储,,包含,图,知识存储
"在图论中，图是二元组G=（V,E），其中V是节点集合，E是边集合。",图,知识存储,属性,被定义为,"二元组G=（V,E）",文本
1.RDF图RDF是W3C制定的在语义万维网上表示和交换机器可理解信息的标准数据模型[1]。,RDF,知识存储,属性,被定义为,W3C制定的在语义万维网上表示和交换机器可理解信息的标准数据模型,文本
"在RDF三元组集合中，每个Web资源具有一个HTTPURI作为其唯一的id；一个RDF图定义为三元组(s,p,o)的有限集合；每个三元组代表一个陈述句，其中s是主语，p是谓语，o是宾语；(s,p,o)表示资源s与资源o之间具有联系p，或表示资源s具有属性p且其取值为o。",RDF图,知识存储,,包含,"三元组(s,p,o)",知识存储
"在RDF三元组集合中，每个Web资源具有一个HTTPURI作为其唯一的id；一个RDF图定义为三元组(s,p,o)的有限集合；每个三元组代表一个陈述句，其中s是主语，p是谓语，o是宾语；(s,p,o)表示资源s与资源o之间具有联系p，或表示资源s具有属性p且其取值为o。","三元组(s,p,o)",知识存储,属性,被定义为,"每个三元组代表一个陈述句，其中s是主语，p是谓语，o是宾语；(s,p,o)表示资源s与资源o之间具有联系p，或表示资源s具有属性p且其取值为p",文本
图3-2RDF图中边属性的表示2.属性图属性图可以说是目前被图数据库业界采纳最广的一种图数据模型[3]。,属性图,知识存储,,属于,知识图图数据模型,知识存储
目前，RDF图上的查询语言是SPARQL；属性图上的查询语言常用的是Cypher和Gremlin。,RDF图查询语言,知识存储,,包含,SPARQL,知识存储
目前，RDF图上的查询语言是SPARQL；属性图上的查询语言常用的是Cypher和Gremlin。,属性图查询语言,知识存储,,包含,Cypher,知识存储
目前，RDF图上的查询语言是SPARQL；属性图上的查询语言常用的是Cypher和Gremlin。,属性图查询语言,知识存储,,包含,Gremlin,知识存储
1.SPARQLSPARQL是W3C制定的RDF图数据的标准查询语言[4]。,SPARQL,知识存储,属性,被定义为,W3C制定的RDF图数据的标准查询语言,文本
SPARQL从语法上借鉴了SQL，同样属于声明式查询语言。,SPARQL,知识存储,,属于,声明式查询语言,知识存储
2.CypherCypher最初是图数据库Neo4j中实现的属性图数据查询语言[15]。,Cypher,知识存储,,属于,属性图查询语言,知识存储
与SPARQL一样，Cypher也是一种声明式语言，即用户只需要声明“查什么”，而无须关心“怎么查”，这就好比乘坐出租车到一个目的地，只需要告诉司机要到哪里，具体的行车路线可由司机安排，乘客并不需要关心。,Cypher,知识存储,,属于,声明式查询语言,知识存储
这类语言的优点是便于用户学习掌握，同时给予数据库进行查询优化的空间，缺点是不能满足高级用户导航式查询的要求，数据库规划的查询执行计划有可能并不是最优方案。,声明式查询语言,知识存储,属性,特点,便于用户学习掌握同时给予数据库进行查询优化的空间,文本
这类语言的优点是便于用户学习掌握，同时给予数据库进行查询优化的空间，缺点是不能满足高级用户导航式查询的要求，数据库规划的查询执行计划有可能并不是最优方案。,声明式查询语言,知识存储,属性,缺点,不能满足高级用户导航式查询的要求，数据库规划的查询执行计划有可能并不是最优方案,文本
2015年，Neo4j公司发起开源项目openCypher[16]，旨在对Cypher进行标准化工作，为其他实现者提供语法和语义的参考标准。,openCypher,知识图谱项目,属性,目标,对Cypher进行标准化工作，为其他实现者提供语法和语义的参考标准,文本
3.GremlinGremlin是Apache_TinkerPop图计算框架[21]提供的属性图查询语言[22]。,Gremlin,知识图谱项目,,属于,属性图查询语言,知识存储
Gremlin的定位是图遍历语言，其执行机制好比是一个人置身于图中沿着有向边，从一个节点到另一个节点进行导航式的游走。,Gremlin,知识图谱项目,,属于,图遍历语言,知识存储
3.2常见知识图谱存储方法本节介绍三类知识图谱数据库：基于关系数据库的存储方案、面向RDF的三元组数据库和原生图数据库，多数系统给出了演示操作步骤。,知识图谱数据库,知识存储,,包含,基于关系数据库的存储方案,知识存储
3.2常见知识图谱存储方法本节介绍三类知识图谱数据库：基于关系数据库的存储方案、面向RDF的三元组数据库和原生图数据库，多数系统给出了演示操作步骤。,知识图谱数据库,知识存储,,包含,面向RDF的三元组数据库,知识存储
3.2常见知识图谱存储方法本节介绍三类知识图谱数据库：基于关系数据库的存储方案、面向RDF的三元组数据库和原生图数据库，多数系统给出了演示操作步骤。,知识图谱数据库,知识存储,,包含,原生图数据库,知识存储
商业数据库包括Oracle、DB2和SQL_Server等，开源数据库包括PostgreSQL和MySQL等。,基于关系数据库的存储方案,知识存储,,包含,Oracle,知识图谱项目
商业数据库包括Oracle、DB2和SQL_Server等，开源数据库包括PostgreSQL和MySQL等。,基于关系数据库的存储方案,知识存储,,包含,DB2,知识图谱项目
商业数据库包括Oracle、DB2和SQL_Server等，开源数据库包括PostgreSQL和MySQL等。,基于关系数据库的存储方案,知识存储,,包含,SQL_Server,知识图谱项目
商业数据库包括Oracle、DB2和SQL_Server等，开源数据库包括PostgreSQL和MySQL等。,基于关系数据库的存储方案,知识存储,,包含,PostgreSQL,知识图谱项目
商业数据库包括Oracle、DB2和SQL_Server等，开源数据库包括PostgreSQL和MySQL等。,基于关系数据库的存储方案,知识存储,,包含,MySQL,知识图谱项目
本小节将按照时间发展顺序简要介绍各种基于关系表的知识图谱存储结构，包括三元组表、水平表、属性表、垂直划分、六重索引和DB2RDF。,基于关系表的知识图谱存储结构,知识存储,,包含,三元组表,知识存储
本小节将按照时间发展顺序简要介绍各种基于关系表的知识图谱存储结构，包括三元组表、水平表、属性表、垂直划分、六重索引和DB2RDF。,基于关系表的知识图谱存储结构,知识存储,,包含,水平表,知识存储
本小节将按照时间发展顺序简要介绍各种基于关系表的知识图谱存储结构，包括三元组表、水平表、属性表、垂直划分、六重索引和DB2RDF。,基于关系表的知识图谱存储结构,知识存储,,包含,属性表,知识存储
本小节将按照时间发展顺序简要介绍各种基于关系表的知识图谱存储结构，包括三元组表、水平表、属性表、垂直划分、六重索引和DB2RDF。,基于关系表的知识图谱存储结构,知识存储,,包含,垂直划分,知识存储
本小节将按照时间发展顺序简要介绍各种基于关系表的知识图谱存储结构，包括三元组表、水平表、属性表、垂直划分、六重索引和DB2RDF。,基于关系表的知识图谱存储结构,知识存储,,包含,六重索引,知识存储
本小节将按照时间发展顺序简要介绍各种基于关系表的知识图谱存储结构，包括三元组表、水平表、属性表、垂直划分、六重索引和DB2RDF。,基于关系表的知识图谱存储结构,知识存储,,包含,DB2RDF,知识存储
表3-0三元组表三元组表存储方案虽然简单明了，但三元组表的行数与知识图谱的边数一样，其最大问题在于将知识图谱查询翻译为SQL查询后的三元组表自连接。,三元组表,知识存储,属性,特点,简单明了,文本
表3-1三元组表三元组表存储方案虽然简单明了，但三元组表的行数与知识图谱的边数一样，其最大问题在于将知识图谱查询翻译为SQL查询后的三元组表自连接。,三元组表,知识存储,属性,方法,在关系数据 库中建立一张具有3列的表，该表的模式为： 三元组表 (主语， 谓语， 宾语),文本
当三元组表规模较大时，多个自连接操作会使SQL查询性能低下。,三元组表,知识存储,属性,缺点,当三元组表规模较大时，多个自连接操作会使SQL查询性能低下,文本
采用三元组表存储方案的代表是RDF数据库系统3store[24]。,3store,知识图谱项目,,属于,三元组表,知识存储
2.水平表水平表存储方案同样非常简单，与三元组表不同，其每行记录存储一个知识图谱中一个主语的所有谓语和宾语。,水平表,知识存储,属性,方法,每行记录存储一个知识图谱中一个主语的所有谓语和宾语,文本
实际上，水平表就相当于知识图谱的邻接表。,水平表,知识存储,,等价,知识图谱邻接表,知识存储
可见，与三元组表相比，水平表的查询大为简化，仅需单表查询即可完成该任务，不用进行连接操作。,水平表,知识存储,属性,特点,查询大为简化，仅需单表查询即可完成该任务，不用进行连接操作,文本
采用水平表存储方案的代表是早期的RDF数据库系统DLDB[25]。,DLDB,知识图谱项目,,属于,水平表存储方案,知识存储
3.属性表属性表（Property_Table）存储方案是对水平表的细化，将同类主语分到一个表中，不同类主语分到不同表中。,属性表,知识存储,属性,方法,对水平表的细化，将同类主语分到一个表中，不同类主语分到不同表中,文本
